P_VOC,P_LEN,P_VOL,P_DIFF,P_EFFO,E_TIME,NO_ERR,NO_LOP,NO_KEY,NO_CON,NO_LIN,NO_OPE,NO_OPA,NO_COM,STATUS
24,32,146.7188,8.181818182,1200.426546,66.69036365,0.048906267,0,0,0,2,17,15,0,0
26,35,164.5153901,9.454545455,1555.418234,86.41212411,0.054838463,0,0,0,6,19,16,0,1
24,46,210.908275,10.61538462,2238.872458,124.3818032,0.070302758,0,4,1,11,23,23,0,2
18,39,162.6270751,7.875,1280.688216,71.14934534,0.054209025,0,5,1,8,18,21,0,3
36,531,2745.230176,81.28125,223135.7402,12396.43001,0.915076725,3,17,8,106,242,289,2,4
24,47,215.4932375,18.85714286,4063.586765,225.7548203,0.071831079,0,0,0,2,25,22,0,0
24,47,215.4932375,18.85714286,4063.586765,225.7548203,0.071831079,0,0,0,2,25,22,0,1
22,49,218.5121493,15.27777778,3338.380059,185.4655588,0.072837383,0,5,0,6,24,25,0,2
22,49,218.5121493,13.75,3004.542053,166.9190029,0.072837383,0,5,0,7,24,25,0,3
24,272,1247.1098,39.39130435,49125.28169,2729.182316,0.415703267,4,7,0,83,121,151,8,4
12,70,250.9473751,12,3011.368501,167.29825,0.083649125,1,11,2,17,30,40,0,2
20,73,315.5007509,21,6625.515769,368.0842094,0.105166917,0,12,3,14,31,42,0,3
20,59,254.9937576,21.42857143,5464.151949,303.5639971,0.084997919,1,4,1,13,29,30,0,0
16,38,152,12,1824,101.3333333,0.050666667,1,7,1,11,17,21,0,2
28,69,331.7074896,20.36363636,6754.770698,375.2650388,0.110569163,1,1,0,2,37,32,0,0
24,82,375.9669251,18.92307692,7114.451043,395.2472802,0.125322308,1,4,1,11,41,41,0,1
24,81,371.3819626,20.5,7613.330232,422.9627907,0.123793988,1,6,1,14,40,41,0,3
38,650,3411.152884,108.1774194,369009.716,20500.53978,1.137050961,8,33,10,112,297,353,0,4
28,88,423.0472331,20.46153846,8656.197232,480.8998462,0.141015744,1,1,0,2,50,38,0,0
24,101,463.0812126,24,11113.9491,617.4416168,0.154360404,3,4,1,10,49,52,0,1
20,97,419.2270252,20,8384.540504,465.8078058,0.139742342,1,2,1,2,49,48,0,2
